message_id,datetime_utc,alpha,project,x_account
dodtwitterbot/8131,2026-06-16T16:32:18+00:00,Ahong,Huawei,Huawei
dodtwitterbot/8132,2026-06-16T16:32:18+00:00,Ahong,Tencent,TencentGlobal
dodtwitterbot/8133,2026-06-16T16:32:25+00:00,Ahong,Tuo Liu,Robo_Tuo
dodtwitterbot/8134,2026-06-16T16:32:26+00:00,Ahong,BYD,BYDCompany
dodtwitterbot/8135,2026-06-16T16:32:26+00:00,Ahong,Bryan Lim,bryanlimwt
dodtwitterbot/8136,2026-06-16T16:33:48+00:00,nlgcf69515952,Bitcoin-Classic,Btc_Classic_KOL
dodtwitterbot/8137,2026-06-16T16:39:53+00:00,kugua,RobinFun,robinfunxyz
dodtwitterbot/8138,2026-06-16T16:41:17+00:00,AlphaFries,Robindogenft,Robindogenft
dodtwitterbot/8139,2026-06-16T16:47:24+00:00,ibrax,Vlad Tenev,vladtenev
dodtwitterbot/8140,2026-06-16T16:56:14+00:00,ibrax,Heisted,Heistedxyz
dodtwitterbot/8141,2026-06-16T16:59:13+00:00,Ahong,EVO,EVO__HQ
dodtwitterbot/8142,2026-06-16T17:04:56+00:00,Ahong,Luigi Dintrono,Luigi_Dintrono
dodtwitterbot/8143,2026-06-16T17:04:56+00:00,Ahong,Raul Romero,Raul_RomeroM
dodtwitterbot/8144,2026-06-16T17:05:03+00:00,Ahong,Kite ML,trainrobotsfast
dodtwitterbot/8145,2026-06-16T17:26:35+00:00,Ahong,Hermes One,HermesOneApp
dodtwitterbot/8146,2026-06-16T17:46:35+00:00,Ahong,Chris Osborne,KintuLabs
dodtwitterbot/8147,2026-06-16T17:51:01+00:00,CCcheer,Go Fund Hook,GoFundHook
dodtwitterbot/8148,2026-06-16T17:52:34+00:00,flaxsed,PokeRols,PokeRolsFun
dodtwitterbot/8149,2026-06-16T18:05:50+00:00,nlgcf69515952,Ducat,Ducatstable
dodtwitterbot/8150,2026-06-16T18:29:40+00:00,BTC alpha,Upshot,upshot_cards
