message_id,datetime_utc,alpha,project,x_account
dodtwitterbot/8199,2026-06-17T06:58:40+00:00,AlphaFries,moo,moogangEth
dodtwitterbot/8200,2026-06-17T06:58:40+00:00,AlphaFries,pinefall island,pinefallisland
dodtwitterbot/8201,2026-06-17T07:06:06+00:00,speest,Vlad Tenev,vladtenev
dodtwitterbot/8202,2026-06-17T07:06:50+00:00,AlphaFries,a402,a402finance
dodtwitterbot/8203,2026-06-17T07:06:50+00:00,zizai3ro,Frank X. Shaw,fxshaw
dodtwitterbot/8204,2026-06-17T07:12:21+00:00,蛋总,Sam,PrmrSamm
dodtwitterbot/8205,2026-06-17T07:12:21+00:00,NotVanGogh88,ACK,ack_onchain
dodtwitterbot/8206,2026-06-17T07:12:54+00:00,NotVanGogh88,tmoney_145,tmoney_145
dodtwitterbot/8207,2026-06-17T07:13:44+00:00,Ahong,tmoney_145,tmoney_145
dodtwitterbot/8208,2026-06-17T07:13:45+00:00,Ahong,ACK,ack_onchain
dodtwitterbot/8209,2026-06-17T07:15:12+00:00,ibrax,韭菜爱刀子,wesley_wlowry85
dodtwitterbot/8210,2026-06-17T07:32:04+00:00,BearzVerse,WagmiRush,WagmiRush
dodtwitterbot/8211,2026-06-17T07:37:43+00:00,Yangxiao214,BaseBoredClub,baseboredclub
dodtwitterbot/8212,2026-06-17T07:37:43+00:00,Yangxiao214,Shroom,shroomv4
dodtwitterbot/8213,2026-06-17T07:59:43+00:00,ibrax,4ndation,4ndation
dodtwitterbot/8214,2026-06-17T08:02:30+00:00,xeogy92298766,Heisted,Heistedxyz
dodtwitterbot/8215,2026-06-17T08:09:35+00:00,ibrax,TCG Arena,PlayTCGArena
dodtwitterbot/8216,2026-06-17T08:18:02+00:00,BearzVerse,TCG Arena,PlayTCGArena
dodtwitterbot/8217,2026-06-17T08:29:14+00:00,mutu_1987,TCG Arena,PlayTCGArena
dodtwitterbot/8218,2026-06-17T08:29:21+00:00,mutu_1987,Rooter,dacrooter
